	id_cp_interaction	partner_a	partner_b	protein_name_a	protein_name_b	annotation_strategy	source	gene_name_a	gene_name_b	gene_name_mouse_a	gene_name_mouse_b
554	CPI-SS0179FBFD3	O00220	P50591	TR10A_HUMAN	TNF10_HUMAN	curated	uniprot	TNFRSF10A	TNFSF10	Tnfrsf10b	Tnfsf10
556	CPI-SS018B35889	P09681	P27487	GIP_HUMAN	DPP4_HUMAN	InnateDB-All,MINT		GIP	DPP4	Gip	Dpp4
557	CPI-SS018BD4882	P48645	Q9HB89	NMU_HUMAN	NMUR1_HUMAN	guidetopharmacology.org		NMU	NMUR1	Nmu	Nmur1
559	CPI-SS019104E2E	Q6UXX9	Q9HBX8	RSPO2_HUMAN	LGR6_HUMAN	guidetopharmacology.org		RSPO2	LGR6	Rspo2	Lgr6
560	CPI-SS0193C3064	P04628	Q9H461	WNT1_HUMAN	FZD8_HUMAN	I2D,InnateDB-All		WNT1	FZD8	Wnt1	Fzd8
561	CPI-SS01946BE5C	P21730	P39019	C5AR1_HUMAN	RS19_HUMAN	guidetopharmacology.org		C5AR1	RPS19	C5ar1	Rps19
562	CPI-SS01963C4CA	P01266	P07306	THYG_HUMAN	ASGR1_HUMAN	I2D		TG	ASGR1	Tg	Asgr1
563	CPI-SS019C98396	O43557	Q92956	TNF14_HUMAN	TNR14_HUMAN	curated	uniprot	TNFSF14	TNFRSF14	Tnfsf14	Tnfrsf14
564	CPI-SS01A07768A	P15529	P78504	MCP_HUMAN	JAG1_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/23086448	CD46	JAG1	Cd46	Jag1
566	CPI-SS01A6823FA	P02776	P49682	PLF4_HUMAN	CXCR3_HUMAN	curated	PMID: 24218476	PF4	CXCR3	Pf4	Cxcr3
568	CPI-SS01A8F745A	P21709	P52797	EPHA1_HUMAN	EFNA3_HUMAN	curated	PMID: 15114347	EPHA1	EFNA3	Epha1	Efna3
569	CPI-SS01AD399A0	P05112	Q14627	IL4_HUMAN	I13R2_HUMAN	I2D		IL4	IL13RA2	Il4	Il13ra2
570	CPI-SS01BCB9360	P13591	P23560	NCAM1_HUMAN	BDNF_HUMAN	I2D		NCAM1	BDNF	Ncam1	Bdnf
571	CPI-SS01C2BA5C8	P41221	Q14332	WNT5A_HUMAN	FZD2_HUMAN	curated	PMID: 24032637	WNT5A	FZD2	Wnt5a	Fzd2
572	CPI-SS01CE67526	Q8TCW9	Q9HC23	PKR1_HUMAN	PROK2_HUMAN	guidetopharmacology.org		PROKR1	PROK2	Prokr1	Prok2
573	CPI-SS01D785DBA	P21802	Q9GZV9	FGFR2_HUMAN	FGF23_HUMAN	I2D,IMEx,InnateDB-All,IntAct		FGFR2	FGF23	Fgfr2	Fgf23
574	CPI-SS01DCC7684	O43921	Q15375	EFNA2_HUMAN	EPHA7_HUMAN	curated	PMID: 15114347	EFNA2	EPHA7	Efna2	Epha7
575	CPI-SS01E0F2D2C	Q15223	Q96NY8	PVRL1_HUMAN	PVRL4_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/22902367	NECTIN1	NECTIN4	Nectin1	Nectin4
576	CPI-SS01E3453DB	Q6UXX9	Q9BXB1	RSPO2_HUMAN	LGR4_HUMAN	guidetopharmacology.org		RSPO2	LGR4	Rspo2	Lgr4
578	CPI-SS01F67987A	P09038	P11362	FGF2_HUMAN	FGFR1_HUMAN	curated	uniprot	FGF2	FGFR1	Fgf2	Fgfr1
583	CPI-SS0230EE330	P01160	P20594	ANF_HUMAN	ANPRB_HUMAN	I2D,InnateDB-All		NPPA	NPR2	Nppa	Npr2
584	CPI-SS0231B999D	P25092	Q16661	GUC2C_HUMAN	GUC2B_HUMAN	guidetopharmacology.org		GUCY2C	GUCA2B	Gucy2c	Guca2b
585	CPI-SS02371A6D6	P15692	P29323	VEGFA_HUMAN	EPHB2_HUMAN	I2D		VEGFA	EPHB2	Vegfa	Ephb2
586	CPI-SS023738D54	P11362	P11487	FGFR1_HUMAN	FGF3_HUMAN	I2D,InnateDB-All		FGFR1	FGF3	Fgfr1	Fgf3
587	CPI-SS023ABAE18	P47992	Q8WXG9	XCL1_HUMAN	GPR98_HUMAN	InnateDB-All		XCL1	ADGRV1	Xcl1	Adgrv1
589	CPI-SS0241A1F57	O60462	Q99985	NRP2_HUMAN	SEM3C_HUMAN	curated	uniprot	NRP2	SEMA3C	Nrp2	Sema3c
590	CPI-SS02461AE98	O43612	O43614	OREX_HUMAN	OX2R_HUMAN	guidetopharmacology.org		HCRT	HCRTR2	Hcrt	Hcrtr2
591	CPI-SS024E1CF41	P31391	P61278	SSR4_HUMAN	SMS_HUMAN	I2D		SSTR4	SST	Sstr4	Sst
595	CPI-SS0261EA048	P56704	Q14332	WNT3A_HUMAN	FZD2_HUMAN	InnateDB-All		WNT3A	FZD2	Wnt3a	Fzd2
597	CPI-SS0268D47AD	P13236	Q8TDT2	CCL4_HUMAN	GP152_HUMAN	IMEx,IntAct		CCL4	GPR152	Ccl4	Gpr152
598	CPI-SS0270A2CA9	P0C0P6	Q6W5P4	NPS_HUMAN	NPSR1_HUMAN	guidetopharmacology.org		NPS	NPSR1	Nps	Npsr1
599	CPI-SS0273C9AED	P35968	P49767	VGFR2_HUMAN	VEGFC_HUMAN	curated	uniprot	KDR	VEGFC	Kdr	Vegfc
601	CPI-SS02770D68F	Q04721	Q9Y219	NOTC2_HUMAN	JAG2_HUMAN	curated	PMID: 22353464	NOTCH2	JAG2	Notch2	Jag2
603	CPI-SS027CDEA08	Q04721	Q9NR61	NOTC2_HUMAN	DLL4_HUMAN	curated	PMID: 22353464	NOTCH2	DLL4	Notch2	Dll4
604	CPI-SS027E12A36	P21741	P23471	MK_HUMAN	PTPRZ_HUMAN	curated	PMID: 10212223	MDK	PTPRZ1	Mdk	Ptprz1
605	CPI-SS027E57635	Q8NFJ6	Q9HC23	PKR2_HUMAN	PROK2_HUMAN	guidetopharmacology.org		PROKR2	PROK2	Prokr2	Prok2
607	CPI-SS028688B7B	P52803	Q15375	EFNA5_HUMAN	EPHA7_HUMAN	curated	PMID: 15114347	EFNA5	EPHA7	Efna5	Epha7
609	CPI-SS0288E42FB	P25024	P80162	CXCR1_HUMAN	CXCL6_HUMAN	curated	PMID: 24218476	CXCR1	CXCL6	Cxcr1	Cxcl5
610	CPI-SS02896561C	P08620	P22455	FGF4_HUMAN	FGFR4_HUMAN	I2D		FGF4	FGFR4	Fgf4	Fgfr4
611	CPI-SS02904BE32	P23416	Q92520	GLRA2_HUMAN	FAM3C_HUMAN	InnateDB-All		GLRA2	FAM3C	Glra2	Fam3c
612	CPI-SS02928C71A	P01127	Q07954	PDGFB_HUMAN	LRP1_HUMAN	I2D,InnateDB-All		PDGFB	LRP1	Pdgfb	Lrp1
616	CPI-SS02A170A99	P16150	Q9BZZ2	LEUK_HUMAN	SN_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/11238599	SPN	SIGLEC1	Spn	Siglec1
617	CPI-SS02AB0C3E0	P10451	P16070	OSTP_HUMAN	CD44_HUMAN	I2D,IMEx,InnateDB-All,IntAct		SPP1	CD44	Spp1	Cd44
618	CPI-SS02ACCF1F7	P14174	Q92956	MIF_HUMAN	TNR14_HUMAN	I2D,IntAct		MIF	TNFRSF14	Mif	Tnfrsf14
619	CPI-SS02AFCED82	P29317	P52803	EPHA2_HUMAN	EFNA5_HUMAN	curated	PMID: 15114347	EPHA2	EFNA5	Epha2	Efna5
620	CPI-SS02B285B4D	P29322	P52798	EPHA8_HUMAN	EFNA4_HUMAN	curated	PMID: 15114347	EPHA8	EFNA4	Epha8	Efna4
621	CPI-SS02B567BC7	O60486	O75326	PLXC1_HUMAN	SEM7A_HUMAN	curated	PMID: 22325954	PLXNC1	SEMA7A	Plxnc1	Sema7a
622	CPI-SS02B7540B0	P16109	Q14242	LYAM3_HUMAN	SELPL_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/19118202,https://www.ncbi.nlm.nih.gov/pubmed/9829984,https://www.ncbi.nlm.nih.gov/pubmed/12393589	SELP	SELPLG	Selp	Selplg
623	CPI-SS02C0BCFFE	P16471	Q14406	PRLR_HUMAN	CSHL_HUMAN	guidetopharmacology.org		PRLR	CSHL1	Prlr	Gh
624	CPI-SS02C29C238	P22607	Q15223	FGFR3_HUMAN	PVRL1_HUMAN	InnateDB-All		FGFR3	NECTIN1	Fgfr3	Nectin1
625	CPI-SS02C418D99	P09544	Q14332	WNT2_HUMAN	FZD2_HUMAN	curated	PMID: 24032637	WNT2	FZD2	Wnt2	Fzd2
626	CPI-SS02CCE14A7	P18509	P41587	PACA_HUMAN	VIPR2_HUMAN	I2D		ADCYAP1	VIPR2	Adcyap1	Vipr2
628	CPI-SS02D18D12B	Q8N126	Q8NFZ8	CADM3_HUMAN	CADM4_HUMAN	curated	uniprot	CADM3	CADM4	Cadm3	Cadm4
629	CPI-SS02D4E44C7	P01185	P47901	NEU2_HUMAN	V1BR_HUMAN	I2D		AVP	AVPR1B	Avp	Avpr1b
630	CPI-SS02D7A1DDE	P10721	P21583	KIT_HUMAN	SCF_HUMAN	curated	uniprot	KIT	KITLG	Kit	Kitl
631	CPI-SS02E314589	P21802	Q15223	FGFR2_HUMAN	PVRL1_HUMAN	InnateDB-All		FGFR2	NECTIN1	Fgfr2	Nectin1
632	CPI-SS02EBC1BB0	P01375	P46531	TNFA_HUMAN	NOTC1_HUMAN	I2D		TNF	NOTCH1	Tnf	Notch1
633	CPI-SS02EDE5894	Q13324	Q969E3	CRFR2_HUMAN	UCN3_HUMAN	guidetopharmacology.org		CRHR2	UCN3	Crhr2	Ucn3
634	CPI-SS02EF37382	Q8WXF3	Q9NSD7	REL3_HUMAN	RL3R1_HUMAN	guidetopharmacology.org		RLN3	RXFP3	Rln3	Rxfp3
635	CPI-SS02EF3E1BA	O43508	Q9NP84	TNF12_HUMAN	TNR12_HUMAN	curated	uniprot	TNFSF12	TNFRSF12A	Tnfsf12	Tnfrsf12a
636	CPI-SS02FBD007E	Q92692	Q9NQS3	PVRL2_HUMAN	PVRL3_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/19011627,https://www.ncbi.nlm.nih.gov/pubmed/12740392/	NECTIN2	NECTIN3	Nectin2	Nectin3
637	CPI-SS02FEAF02E	P12034	P21802	FGF5_HUMAN	FGFR2_HUMAN	I2D,IMEx,InnateDB-All,IntAct		FGF5	FGFR2	Fgf5	Fgfr2
638	CPI-SS0302E8E8F	P04233	P53621	HG2A_HUMAN	COPA_HUMAN	IMEx,IntAct		CD74	COPA	Cd74	Copa
639	CPI-SS03098AC28	Q15303	Q99075	ERBB4_HUMAN	HBEGF_HUMAN	curated	uniprot	ERBB4	HBEGF	Erbb4	Hbegf
640	CPI-SS030BB46BB	P04083	P25090	ANXA1_HUMAN	FPR2_HUMAN	curated	PMID: 22610094	ANXA1	FPR2	Anxa1	Fpr2
641	CPI-SS030EDC420	O00144	O00755	FZD9_HUMAN	WNT7A_HUMAN	I2D		FZD9	WNT7A	Fzd9	Wnt7a
642	CPI-SS03105D292	P09603	P30825	CSF1_HUMAN	CTR1_HUMAN	I2D		CSF1	SLC7A1	Csf1	Slc7a1
643	CPI-SS03133B4F2	P02786	Q9Y275	TFR1_HUMAN	TN13B_HUMAN	IMEx,IntAct		TFRC	TNFSF13B	Tfrc	Tnfsf13b
644	CPI-SS03156A825	P01374	P36941	TNFB_HUMAN	TNR3_HUMAN	I2D		LTA	LTBR	Lta	Ltbr
646	CPI-SS03165AD8C	O00590	P13500	ACKR2_HUMAN	CCL2_HUMAN	curated	PMID: 24218476	ACKR2	CCL2	Ackr2	Ccl12
648	CPI-SS03189F5F6	O15520	P11362	FGF10_HUMAN	FGFR1_HUMAN	InnateDB-All		FGF10	FGFR1	Fgf10	Fgfr1
649	CPI-SS031E35270	Q8WXF3	Q9HBX9	REL3_HUMAN	RXFP1_HUMAN	guidetopharmacology.org		RLN3	RXFP1	Rln3	Rxfp1
650	CPI-SS0320FFAFC	P16410	P33681	CTLA4_HUMAN	CD80_HUMAN	curated	antigen-stimulated T cells become anergic. Reviewed in PMID: 23954143	CTLA4	CD80	Ctla4	Cd80
653	CPI-SS0327E1782	Q6UXB1	Q9H665	IGFL3_HUMAN	IGFR1_HUMAN	IMEx,InnateDB-All,UniProt		IGFL3	IGFLR1	Igfl3	Igflr1
654	CPI-SS032AD1183	P01160	P16066	ANF_HUMAN	ANPRA_HUMAN	guidetopharmacology.org		NPPA	NPR1	Nppa	Npr1
655	CPI-SS032CFAE42	P30988	Q7Z4H4	CALCR_HUMAN	ADM2_HUMAN	guidetopharmacology.org		CALCR	ADM2	Calcr	Adm2
656	CPI-SS032E9A219	P49238	P78423	CX3C1_HUMAN	X3CL1_HUMAN	curated	PMID: 24218476	CX3CR1	CX3CL1	Cx3cr1	Cx3cl1
657	CPI-SS0330D939A	O60258	P21802	FGF17_HUMAN	FGFR2_HUMAN	I2D,InnateDB-All		FGF17	FGFR2	Fgf17	Fgfr2
658	CPI-SS033180726	P01215	P22888	GLHA_HUMAN	LSHR_HUMAN	I2D,InnateDB-All		CGA	LHCGR	Cga	Lhcgr
659	CPI-SS0331C5A49	O95390	Q9H6X2	GDF11_HUMAN	ANTR1_HUMAN	InnateDB-All		GDF11	ANTXR1	Gdf11	Antxr1
661	CPI-SS0339AE950	P78324	Q08722	SHPS1_HUMAN	CD47_HUMAN	curated	Reviewed in PMID: 23602662	SIRPA	CD47	Sirpa	Cd47
662	CPI-SS033A27302	O00292	P13385	LFTY2_HUMAN	TDGF1_HUMAN	curated	PMID: 22710174	LEFTY2	TDGF1	Lefty2	Tdgf1
663	CPI-SS033C67295	O95399	Q9UKP6	UTS2_HUMAN	UR2R_HUMAN	guidetopharmacology.org		UTS2	UTS2R	Uts2	Uts2r
664	CPI-SS033CB0BB2	P78310	Q92520	CXAR_HUMAN	FAM3C_HUMAN	IMEx,IntAct		CXADR	FAM3C	Cxadr	Fam3c
665	CPI-SS033E6DE7E	O14786	P49765	NRP1_HUMAN	VEGFB_HUMAN	curated	uniprot	NRP1	VEGFB	Nrp1	Vegfb
668	CPI-SS0348DB5E3	P11362	P21802	FGFR1_HUMAN	FGFR2_HUMAN	InnateDB-All		FGFR1	FGFR2	Fgfr1	Fgfr2
669	CPI-SS034B442CE	P01375	Q9HCU4	TNFA_HUMAN	CELR2_HUMAN	InnateDB-All		TNF	CELSR2	Tnf	Celsr2
670	CPI-SS034C2FBA9	O00253	P41968	AGRP_HUMAN	MC3R_HUMAN	guidetopharmacology.org		AGRP	MC3R	Agrp	Mc3r
672	CPI-SS034D3988F	Q2I0M5	Q9BXB1	RSPO4_HUMAN	LGR4_HUMAN	guidetopharmacology.org		RSPO4	LGR4	Rspo4	Lgr4
673	CPI-SS035A3ADDF	P01225	P23945	FSHB_HUMAN	FSHR_HUMAN	I2D,IMEx,InnateDB-All,IntAct		FSHB	FSHR	Fshb	Fshr
674	CPI-SS035E5A708	Q9NYJ7	Q9UM47	DLL3_HUMAN	NOTC3_HUMAN	curated	PMID: 22353464	DLL3	NOTCH3	Dll3	Notch3
675	CPI-SS0362EFFDE	P20382	Q99705	MCH_HUMAN	MCHR1_HUMAN	I2D		PMCH	MCHR1	Pmch	Mchr1
676	CPI-SS036437279	Q02413	Q02487	DSG1_HUMAN	DSC2_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/27298358	DSG1	DSC2	Dsg1a	Dsc2
677	CPI-SS03722104E	P14210	P16070	HGF_HUMAN	CD44_HUMAN	IMEx,InnateDB-All,IntAct		HGF	CD44	Hgf	Cd44
678	CPI-SS037E6BEDF	P20827	P29322	EFNA1_HUMAN	EPHA8_HUMAN	curated	PMID: 15114347	EFNA1	EPHA8	Efna1	Epha8
679	CPI-SS03821C2C6	P02776	Q16570	PLF4_HUMAN	ACKR1_HUMAN	I2D,InnateDB		PF4	ACKR1	Pf4	Ackr1
680	CPI-SS03859E16F	Q495A1	Q9NQS3	TIGIT_HUMAN	PVRL3_HUMAN	curated	PMID: 1313846	TIGIT	NECTIN3	Tigit	Nectin3
681	CPI-SS038E93B77	P11362	P31371	FGFR1_HUMAN	FGF9_HUMAN	I2D,InnateDB-All		FGFR1	FGF9	Fgfr1	Fgf9
682	CPI-SS0391D4602	P04629	P43490	NTRK1_HUMAN	NAMPT_HUMAN	InnateDB-All		NTRK1	NAMPT	Ntrk1	Nampt
683	CPI-SS039799099	P11362	P13591	FGFR1_HUMAN	NCAM1_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/12791257	FGFR1	NCAM1	Fgfr1	Ncam1
684	CPI-SS039863E62	O15444	P51686	CCL25_HUMAN	CCR9_HUMAN	curated	PMID: 24218476	CCL25	CCR9	Ccl25	Ccr9
685	CPI-SS03A0C857B	P25445	P48023	TNR6_HUMAN	TNFL6_HUMAN	curated	uniprot	FAS	FASLG	Fas	Fasl
686	CPI-SS03A2EFDD5	P21709	P52803	EPHA1_HUMAN	EFNA5_HUMAN	curated	PMID: 15114347	EPHA1	EFNA5	Epha1	Efna5
687	CPI-SS03A3EE72E	P35916	Q9NRA1	VGFR3_HUMAN	PDGFC_HUMAN	guidetopharmacology.org		FLT4	PDGFC	Flt4	Pdgfc
